image_url,scientific_name,genus,specific_epithet,year,habitat,county
https://s3.msi.umn.edu/mbaenrms3fs/images/MIN_Plants/01002/1002381.jpg,Scirpus sylvaticus f. cephaloideus,Scirpus,sylvaticus,1892,sandy places near old lake beds,Mille Lacs
https://s3.msi.umn.edu/mbaenrms3fs/images/MIN_Plants/01000/1000544.jpg,Carex aenea f. extrapolata,Carex,aenea,1938,"thin soil on diabase, top of cliff",Cook
https://s3.msi.umn.edu/mbaenrms3fs/images/MIN_Plants/01001/1001896.jpg,Nuphar microphyllum f. multisepalum,Nuphar,microphyllum,1955,In open water within wild rice beds,Saint Louis
https://s3.msi.umn.edu/mbaenrms3fs/images/MIN_Plants/01000/1000129.jpg,Amelanchier humilis var. exserrata,Amelanchier,humilis,1935,Quarries,Pipestone
https://s3.msi.umn.edu/mbaenrms3fs/images/MIN_JFBM_PLANTS/01032/1032392.jpg,Rubus wisconsinensis,Rubus,wisconsinensis,1943,"Edge of oak woods, S.E. shore",Ramsey
https://s3.msi.umn.edu/mbaenrms3fs/images/MIN_Plants/01000/1000978.jpg,Erigeron pulchellus var. tolsteadii,Erigeron,pulchellus,1937,Rock ledge ,Goodhue
https://s3.msi.umn.edu/mbaenrms3fs/images/MIN_Plants/01001/1001599.jpg,Lacinaria scariosa var. porrecta,Lacinaria,scariosa,1911,,Todd
https://s3.msi.umn.edu/mbaenrms3fs/images/MIN_Plants/01000/1000211.jpg,Aragallus involutus,Aragallus,involutus,1892,,Meeker
https://s3.msi.umn.edu/mbaenrms3fs/images/MIN_Plants/01002/1002231.jpg,Rubus heterophyllus,Rubus,heterophyllus,1943,Growing in a small sand pit,Ramsey
https://s3.msi.umn.edu/mbaenrms3fs/images/MIN_Plants/01127/1127690.jpg,Poa tormentuosa,Poa,tormentuosa,1938,Side of cliff,Cook
https://s3.msi.umn.edu/mbaenrms3fs/images/MIN_Plants/01127/1127691.jpg,Poa tormentuosa,Poa,tormentuosa,1938,Side of cliff,Cook
https://s3.msi.umn.edu/mbaenrms3fs/images/MIN_Plants/01127/1127692.jpg,Poa tormentuosa,Poa,tormentuosa,1938,Side of cliff,Cook
https://s3.msi.umn.edu/mbaenrms3fs/images/MIN_Plants/01127/1127688.jpg,Poa scopulorum,Poa,scopulorum,1936,slate and diabase cliffs,Cook
https://s3.msi.umn.edu/mbaenrms3fs/images/MIN_Plants/01127/1127687.jpg,Poa scopulorum,Poa,scopulorum,1936,Slate and diabase cliffs,Cook
https://s3.msi.umn.edu/mbaenrms3fs/images/MIN_Plants/01356/1356425.JPG,Amelanchier mucronata,Amelanchier,mucronata,1935,Rock outcrop,Cook
https://s3.msi.umn.edu/mbaenrms3fs/images/MIN_Plants/01127/1127868.jpg,Poa scopulorum,Poa,scopulorum,1936,crevices in diabase,Cook
https://s3.msi.umn.edu/mbaenrms3fs/images/MIN_Plants/01127/1127873.jpg,Poa tormentuosa,Poa,tormentuosa,1944,talus at foot of cliffs,Cook
https://s3.msi.umn.edu/mbaenrms3fs/images/MIN_Plants/01127/1127874.jpg,Poa tormentuosa,Poa,tormentuosa,1938,east facing cliff,Cook
https://s3.msi.umn.edu/mbaenrms3fs/images/MIN_Plants/01127/1127902.jpg,Stachys borealis,Stachys,borealis,1892,,Mille Lacs
https://s3.msi.umn.edu/mbaenrms3fs/images/MIN_Plants/01127/1127867.jpg,Poa scopulorum,Poa,scopulorum,1937,cliff,Cook
https://s3.msi.umn.edu/mbaenrms3fs/images/MIN_Plants/01127/1127870.jpg,Poa scopulorum,Poa,scopulorum,1936,cliffs,Cook
https://s3.msi.umn.edu/mbaenrms3fs/images/MIN_Plants/01127/1127871.jpg,Poa tormentuosa,Poa,tormentuosa,1938,north face of cliff,Cook
https://s3.msi.umn.edu/mbaenrms3fs/images/MIN_Plants/01127/1127866.jpg,Poa scopulorum,Poa,scopulorum,1932,High up on cliff,Cook
https://s3.msi.umn.edu/mbaenrms3fs/images/MIN_JFBM_PLANTS/01024/1024028.jpg,Amelanchier interior,Amelanchier,interior,1933,,Goodhue
https://s3.msi.umn.edu/mbaenrms3fs/images/MIN_Plants/01127/1127865.jpg,Poa scopulorum,Poa,scopulorum,1936,gabbro cliffs,Cook
https://s3.msi.umn.edu/mbaenrms3fs/images/MIN_Plants/01127/1127876.jpg,Poa tormentuosa,Poa,tormentuosa,1938,east-facing cliff,Cook
https://s3.msi.umn.edu/mbaenrms3fs/images/MIN_Plants/01127/1127897.jpg,Solidago chandonnetii,Solidago,chandonnetii,1912,Dry sandy soil,Otter Tail
https://s3.msi.umn.edu/mbaenrms3fs/images/MIN_Plants/01127/1127903.jpg,Stachys borealis,Stachys,borealis,1902,,Houston
https://s3.msi.umn.edu/mbaenrms3fs/images/MIN_Plants/01127/1127875.jpg,Poa tormentuosa,Poa,tormentuosa,1944,talus at foot of cliffs,Cook
https://s3.msi.umn.edu/mbaenrms3fs/images/MIN_Plants/01127/1127722.jpg,Amelanchier humilis var. exserrata,Amelanchier,humilis,1935,,Pipestone
https://s3.msi.umn.edu/mbaenrms3fs/images/MIN_Plants/01127/1127904.jpg,Stachys pustulosa,Stachys,pustulosa,1894,,Lake of the Woods
https://s3.msi.umn.edu/mbaenrms3fs/images/MIN_Plants/01127/1127877.jpg,Poa tormentuosa,Poa,tormentuosa,1938,cliff,Cook
https://s3.msi.umn.edu/mbaenrms3fs/images/MIN_Plants/01127/1127869.jpg,Poa scopulorum,Poa,scopulorum,1938,cliffs,Cook
https://s3.msi.umn.edu/mbaenrms3fs/images/MIN_Plants/01127/1127872.jpg,Poa tormentuosa,Poa,tormentuosa,1938,east slope of cliff,Cook
https://s3.msi.umn.edu/mbaenrms3fs/images/MIN_Plants/00965/965594.JPG,Amelanchier mucronata,Amelanchier,mucronata,1935,On upper rock outcrops,Cook
https://s3.msi.umn.edu/mbaenrms3fs/images/MIN_Plants/00965/965593.JPG,Amelanchier mucronata,Amelanchier,mucronata,1935,Rock outcrop,Cook
https://s3.msi.umn.edu/mbaenrms3fs/images/MIN_Plants/01025/1025076.jpg,Amelanchier humilis var. compacta,Amelanchier,humilis,1935,Edge of oak woods.,Anoka
https://s3.msi.umn.edu/mbaenrms3fs/images/MIN_Plants/01001/1001609.jpg,Lacinaria scariosa var. propinqua,Lacinaria,scariosa,1911,,Todd
https://s3.msi.umn.edu/mbaenrms3fs/images/MIN_Plants/01001/1001601.jpg,Lacinaria scariosa var. porrecta,Lacinaria,scariosa,1911,,Todd
https://s3.msi.umn.edu/mbaenrms3fs/images/MIN_Plants/01002/1002451.jpg,Sisyrinchium campestre,Sisyrinchium,campestre,1890,sandy soil,Hennepin
